text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
في سنة أحد [كذا] واثنين وعشرين وأربعمائة,,,,421-422,"['في', 'سنة', 'احد', 'كذا', 'واثنين', 'وعشرين', 'واربعمائة']",True,True,,,,1.0,"<re.Match object; span=(0, 11), match=' في سنة احد'>"
يوم الأربعاء الرابع والعشرين من رجب سنة ثلـ[...] ,24,Yawm al-arba'a,7.0,؟,"['يوم', 'الاربعاء', 'الرابع', 'والعشرين', 'من', 'رجب', 'سنة', 'ثل', '.', '.', '.']",True,True,,24.0,7,,"<re.Match object; span=(0, 40), match=' يوم الاربعاء الرابع والعشرين من رجب سنة'>"
رابع وعشرين شوال سنة [....],24,,10.0,[...],"['رابع', 'وعشرين', 'شوال', 'سنة', '.', '.', '.', '.']",True,True,,24.0,10,,"<re.Match object; span=(0, 21), match=' رابع وعشرين شوال سنة'>"
الخامس والعشرين من [... سنة اثنتين وعشرين؟] وستمائة,25,,,622؟,"['الخامس', 'والعشرين', 'من', '.', '.', '.', 'سنة', 'اثنتين', 'وعشرين', '؟', 'وستمائة']",False,True,,,,22.0,"<re.Match object; span=(25, 43), match=' سنة اثنتين وعشرين'>"
نهار الخميس سابع عشر جمادى الأولى سنة [...],17,Yawm al-khamis,5.0,؟,"['نهار', 'الخميس', 'سابع', 'عشر', 'جمادى', 'الاولى', 'سنة', '.', '.', '.']",True,True,,17.0,5,,"<re.Match object; span=(0, 38), match=' نهار الخميس سابع عشر جمادى الاولى سنة'>"
يوم الثلاثاء الخامس من [شهر] رجب الفرد من سنة أربع [وثمانين؟] وستمائة,5,Yawm al-thalatha,7.0,686؟,"['يوم', 'الثلاثاء', 'الخامس', 'من', 'شهر', 'رجب', 'الفرد', 'من', 'سنة', 'اربع', 'وثمانين', '؟', 'وستمائة']",True,True,,5.0,7,84.0,"<re.Match object; span=(0, 57), match=' يوم الثلاثاء الخامس من شهر رجب الفرد من سنة اربع>"
[...] الجمعة [...] المحرم من سنة [...],,Yawm al-juma,1.0,607- 608؟,"['.', '.', '.', 'الجمعة', '.', '.', '.', 'المحرم', 'من', 'سنة', '.', '.', '.']",True,True,,,1,,"<re.Match object; span=(19, 33), match=' المحرم من سنة'>"
 في صفر سنة أربع وتسعين,,,2.0,494؟,"['في', 'صفر', 'سنة', 'اربع', 'وتسعين']",True,True,,,2,94.0,"<re.Match object; span=(0, 23), match=' في صفر سنة اربع وتسعين'>"
 شوال سنة سبع وعشرين...,,,10.0,[...]27,"['شوال', 'سنة', 'سبع', 'وعشرين', '.', '.', '.']",True,True,,,10,27.0,"<re.Match object; span=(0, 20), match=' شوال سنة سبع وعشرين'>"
"في ذي القعدة من سنة سبع[...]
وأربعمئة",,,11.0,417- 457,"['في', 'ذي', 'القعدة', 'من', 'سنة', 'سبع', '.', '.', '.', 'واربعمئة']",True,True,,,11,7.0,"<re.Match object; span=(0, 24), match=' في ذي القعدة من سنة سبع'>"
حادي عشر ذي الحجة سنة [...],11,,12.0,639- 733,"['حادي', 'عشر', 'ذي', 'الحجة', 'سنة', '.', '.', '.']",True,True,,11.0,12,,"<re.Match object; span=(0, 22), match=' حادي عشر ذي الحجة سنة'>"
