,"geometry","toponyms","count",,
2060,"POINT (39.83612 21.39132)","['مكة']",4460,4670,95.5032
1501,"POINT (31.24168 30.05778)","['القاهرة']",3546,3594,98.6644
1046,"POINT (36.30199 33.51843)","['دمشق']",1714,1757,97.5526
1581,"POINT (37.17518 36.19828)","['حلب']",1045,1094,95.521
81,"POINT (35.20345 31.77768)","['بيت المقدس', 'القدس', 'ايليا']",971,997,97.3922
767,"POINT (39.60908 24.47782)","['المدينة', 'مدينة النبي', 'المدينة النبوية', 'المدينة المنورة', 'يثرب']",963,1042,92.4184
1932,"POINT (29.90981 31.1949)","['الاسكندرية', 'إسكندرية', 'الإسكندرية ']",376,477,78.826
1003,"POINT (31.79125 31.43739)","['دمياط']",296,309,95.7929
1165,"POINT (35.85194 34.44044)","['اطرابلس', 'طرابلس']",284,294,96.5986
960,"POINT (13.19209 32.87801)","['اطرابلس', 'طرابلس']",284,294,96.5986
,,,,,94.4868
