"place","geometry","toponyms","value_counts",,
"Q20304005","Point(42.691944444 15.707777777)","['الشام']",750,775,96.7742
"Q12226003","Point(43.81174 13.39874)","['اليمن', 'عزلة اليمن']",527,763,69.0695
"Q20300268","Point(42.689722222 15.698888888)","['اليمن']",527,763,69.0695
"Q20300273","Point(42.811388888 16.319722222)","['اليمن']",527,763,69.0695
"Q20300611","Point(43.438611111 16.320833333)","['المحلة']",156,190,82.1053
"Q188336","Point(35.498333333 32.965833333)","['صفد']",118,136,86.7647
"Q20381980","Point(52.0092563 15.5562913)","['جده', 'جدوه']",113,1540,7.3377
"Q5352067","Point(32.00449 30.746557)","['الصالحية', 'الشرقية', 'الصالحية القديمة']",113,283,39.9293
"Q12184911","Point(44.1242 13.2128)","['التربة الشمايتين, التربة', 'تعز', 'التربة']",103,190,54.2105
"Q12184367","Point(43.703378 13.440646)","['البرح', 'تعز']",98,113,86.7257
,,,,,66.1056
