"Automated","Manually","Truth"
"عبد الرحمن بن عبد الله بن عبد الرحمن بن محمد بن محمد بن شرف الزين ابن اللؤلؤي","عبد الرحمن بن عبد الله بن عبد الرحمن بن محمد بن محمد بن شرف الزين ابن اللؤلؤي الدمشقي الشافعي","TRUE"
"محمد","النجم محمد","TRUE"
"أبي بكر الآتيين","التقي أبي بكر","TRUE"
"ابن قاضي عجلون","ابن قاضي عجلون","TRUE"
"الزين خطاب","الزين خطاب","TRUE"
"الاذرعي","التقى الاذرعي","TRUE"
"البدر بن قاضي شهبه","البدر بن قاضي شهبه","TRUE"
"العلاء بن بردس","العلاء بن بردس","TRUE"
"النجم","النجم","TRUE"
"خطاب","خطاب","TRUE"
"الشرواني","الشرواني","TRUE"
"الزيني بن مزهر","الزيني بن مزهر","TRUE"
"الولوي البلقيني","الولوي البلقيني","TRUE"
,"الجلال المحلي","FALSE"
