place,geometry,toponyms,value_counts
Q20304005,Point(42.691944444 15.707777777),['الشام'],750.0
Q20300268,Point(42.689722222 15.698888888),['اليمن'],527.0
Q12226003,Point(43.81174 13.39874),"['اليمن', 'عزلة اليمن']",527.0
Q20300273,Point(42.811388888 16.319722222),['اليمن'],527.0
Q20300611,Point(43.438611111 16.320833333),['المحلة'],156.0
Q188336,Point(35.498333333 32.965833333),['صفد'],118.0
Q5352067,Point(32.00449 30.746557),"['الصالحية', 'الشرقية', 'الصالحية القديمة']",113.0
Q20381980,Point(52.0092563 15.5562913),"['جده', 'جدوه']",113.0
Q12184911,Point(44.1242 13.2128),"['التربة الشمايتين, التربة', 'تعز', 'التربة']",103.0
Q12187648,Point(44.30388889 13.37805556),"['الراهدة', 'تعز']",98.0
