,geometry,toponyms,value_counts
2060,POINT (39.83612 21.39132),['مكة'],4504.0
1501,POINT (31.24168 30.05778),['القاهرة'],3569.0
1046,POINT (36.30199 33.51843),['دمشق'],1726.0
1581,POINT (37.17518 36.19828),['حلب'],1049.0
81,POINT (35.20345 31.77768),"['بيت المقدس', 'القدس', 'ايليا']",978.0
767,POINT (39.60908 24.47782),"['المدينة', 'مدينة النبي', 'المدينة النبوية', 'المدينة المنورة', 'يثرب']",967.0
1932,POINT (29.90981 31.1949),"['الاسكندرية', 'إسكندرية', 'الإسكندرية ']",376.0
1003,POINT (31.79125 31.43739),['دمياط'],294.0
960,POINT (13.19209 32.87801),"['اطرابلس', 'طرابلس']",283.0
1165,POINT (35.85194 34.44044),"['اطرابلس', 'طرابلس']",283.0
