category,name,count
زاوية,الشيخ,22
رباط,الموفق,15
رباط,السدرة,10
رباط,الاثار,5
زاوية,الحنفي,4
رباط,السلطان,4
رباط,الخوزي,4
رباط,السيد,3
زاوية,القادرية,3
رباط,الظاهرية,3
زاوية,الجبرتي,2
زاوية,الابناسي,2
رباط,العز,2
رباط,الظاهر,2
زاوية,اليسع,2
رباط,الدمشقية,2
دير,العباسي,2
زاوية,المتبولي,2
زاوية,القلندرية,2
زاوية,التقي,2
زاوية,العجمي,1
زاوية,العصياتي,1
زاوية,الركراكي,1
زاوية,الشاب,1
زاوية,العبيسي,1
زاوية,الدركاه,1
زاوية,الخدام,1
زاوية,الشرف,1
زاوية,البيدغاني,1
زاوية,الموصلي,1
زاوية,الحمصي,1
زاوية,الجنيد,1
زاوية,النبتيتي,1
زاوية,الرفاعية,1
خانقاه,الصالح,1
زاوية,البرهان,1
زاوية,الامين,1
خانقاه,المواصلة,1
دير,الخليل,1
دير,الزبيدي,1
دير,الطين,1
دير,العشاري,1
رباط,البدر,1
رباط,الحمصي,1
رباط,الحوري,1
رباط,السدة,1
رباط,الشريف,1
رباط,الصفا,1
رباط,العباس,1
رباط,القائد,1
رباط,القيلاني,1
رباط,المغاربة,1
خانقاه,المحسني,1
زاوية,الاشرف,1
زاوية,الاطعاني,1
زاوية,الاعاجم,1
رباط,الموفى,1
